UNIK_Copenhagen,http://2016.igem.org/Team:UNIK_Copenhagen
UNSW_Australia,http://2016.igem.org/Team:UNSW_Australia
UoA_NewZealand,http://2016.igem.org/Team:UoA_NewZealand
UofC_Calgary,http://2016.igem.org/Team:UofC_Calgary
UPF-CRG_Barcelona,http://2016.igem.org/Team:UPF-CRG_Barcelona
UPIBI-IPN,http://2016.igem.org/Team:UPIBI-IPN
UPO-Sevilla,http://2016.igem.org/Team:UPO-Sevilla
Uppsala,http://2016.igem.org/Team:Uppsala
UrbanTundra_Edmonton,http://2016.igem.org/Team:UrbanTundra_Edmonton
USNA-Annapolis,http://2016.igem.org/Team:USNA-Annapolis
USP-EEL-Brazil,http://2016.igem.org/Team:USP-EEL-Brazil
USP_UNIFESP-Brazil,http://2016.igem.org/Team:USP_UNIFESP-Brazil
USTC,http://2016.igem.org/Team:USTC
USTC-Software,http://2016.igem.org/Team:USTC-Software
UST_Beijing,http://2016.igem.org/Team:UST_Beijing
UT-Knoxville,http://2016.igem.org/Team:UT-Knoxville
UT-Tokyo,http://2016.igem.org/Team:UT-Tokyo
Valencia_UPV,http://2016.igem.org/Team:Valencia_UPV
Vanderbilt,http://2016.igem.org/Team:Vanderbilt
Vanderbilt_Software,http://2016.igem.org/Team:Vanderbilt_Software
Vilnius-Lithuania,http://2016.igem.org/Team:Vilnius-Lithuania
Virginia,http://2016.igem.org/Team:Virginia
Wageningen_UR,http://2016.igem.org/Team:Wageningen_UR
Warwick,http://2016.igem.org/Team:Warwick
Washington,http://2016.igem.org/Team:Washington
WashU_StLouis,http://2016.igem.org/Team:WashU_StLouis
Waterloo,http://2016.igem.org/Team:Waterloo
Westlake,http://2016.igem.org/Team:Westlake
Westminster_UoW,http://2016.igem.org/Team:Westminster_UoW
William_and_Mary,http://2016.igem.org/Team:William_and_Mary
WLC-Milwaukee,http://2016.igem.org/Team:WLC-Milwaukee
Wound-Aid-West-Point,http://2016.igem.org/Team:Wound-Aid-West-Point
WPI_Worcester,http://2016.igem.org/Team:WPI_Worcester
XJTLU-CHINA,http://2016.igem.org/Team:XJTLU-CHINA
XMU-China,http://2016.igem.org/Team:XMU-China
Yale,http://2016.igem.org/Team:Yale
ZJU-China,http://2016.igem.org/Team:ZJU-China
